Title,Platform,Developer
Spelunky,PC,"Mossmouth, LLC, BlitWorks"
Spintires,PC,"oovee, Oovee Game Studios"
Spoiler Alert,PC,Megafuzz
SSX 3,PlayStation 2,"EA Canada, EA Sports BIG"
Star Wars Battlefront II,PC,"Criterion Games, Motive Studios, DICE"
Star Wars: Knights of the Old Republic,PC,"BioWare, Aspyr Media, Inc."
Star Wars: Knights of the Old Republic II - The Sith Lords,PC,"Obsidian Entertainment, Aspyr Media, Inc."
Stardew Valley,Nintendo Switch,"ConcernedApe, Sickhead Games, AGM Playism, Chucklefish Games"
Starseed Pilgrim,PC,Not Found
Stealth Bastard Deluxe,PC,Curve Digital
Steambot Chronicles,PlayStation 2,Irem Corp.
SteamWorld Dig,PC,Image & Form
Stellaris,PC,Paradox Development Studio
Stephen's Sausage Roll,PC,Increpare Games
Stick It to the Man!,PC,Zoink Games
Street Fighter II' Turbo: Hyper Fighting,Xbox 360 Games Store,"Capcom, Sensory Sweep Studios"
Street Fighter III: 3rd Strike,Xbox 360 Games Store,"Capcom, Iron Galaxy Studios"
Subsurface Circular,PC,Mike Bithell Games
Super Hexagon,PC,distractionware
Super Mario Galaxy,Wii,"Nintendo EAD Tokyo Group No.1, Imagica Digitalscape Co., Ltd."
Super Mario Galaxy 2,Wii,"Nintendo EAD Tokyo Group No.2, Imagica Digitalscape Co., Ltd."
Super Mario Odyssey,Nintendo Switch,"Nintendo EPD, 1-UP Studio"
Super Meat Boy,PC,"Team Meat, BlitWorks"
Super Paper Mario,Wii,"Intelligent Systems Co., Ltd., Nintendo SPD Group No.3"
Super Smash Bros. Ultimate,Nintendo Switch,"Sora, Bandai Namco Entertainment"
Superbrothers: Sword & Sworcery EP,PC,"Capy, 8-4, Ltd."
Superhot,PC,SUPERHOT Team
Surgeon Simulator,PC,Bossa Studios
Sword of the Stars II: The Lords of Winter,PC,Kerberos Productions
System Shock 2,PC,"Looking Glass Studios, Inc., Irrational Games"
Tabletop Simulator,PC,Berserk Games
Tacoma,PC,Fullbright
Team Fortress 2,PC,Valve Corporation
Team Fortress Classic,PC,Valve Corporation
The Banner Saga,PC,Stoic
The Beginner's Guide,PC,Everything Unlimited Ltd.
The Binding of Isaac,PC,Not Found
The Bridge,PC,"Ty Taylor, Mario Castañeda, The Quantum Astrophysicists Guild, Code Mystics"
The Chronicles of Riddick: Assault on Dark Athena,Xbox 360,"Starbreeze Studios AB, Tigon Studios"
The Darkness,Xbox 360,Starbreeze Studios AB
The Darkness II,Xbox 360,Digital Extremes
The Elder Scrolls III: Morrowind,PC,Bethesda Game Studios
The Elder Scrolls IV: Oblivion,Xbox 360,"4J Studios, Bethesda Game Studios"
The Elder Scrolls V: Skyrim,Xbox 360,"Bethesda Game Studios, Iron Galaxy Studios"
The Evil Within 2,PlayStation 4,Tango Gameworks
"The Haunted Island, a Frog Detective Game",PC,"Grace Bruxner, Thomas Bowker"
The Jackbox Party Pack 3,Nintendo Switch,Jackbox Games
The Jackbox Party Pack 4,Nintendo Switch,Jackbox Games
The Journey Down: Chapter One,PC,Skygoblin
The Journey Down: Chapter Two,PC,Skygoblin
The Last of Us,PlayStation 3,"Naughty Dog, Inc., Virtuos Ltd."
The Legend of Zelda: A Link Between Worlds,Nintendo 3DS,"Nintendo EAD, Monolith Software, Inc., SRD Co. Ltd."
The Legend of Zelda: Breath of the Wild,Nintendo Switch,"Nintendo EPD, Monolith Software, Inc., SRD Co. Ltd."
The Legend of Zelda: Collector's Edition,GameCube,Nintendo Software Technology Corporation
The Legend of Zelda: Phantom Hourglass,Nintendo DS,"Nintendo EAD, SRD Co. Ltd., Imagica Digitalscape Co., Ltd."
The Legend of Zelda: The Wind Waker,GameCube,Nintendo EAD
The Legend of Zelda: Twilight Princess,GameCube,"Nintendo EAD, Imagica Digitalscape Co., Ltd., SRD Co. Ltd."
The Lord of the Rings: War in the North,PC,Snowblind Studios
The Missing: J.J. Macfield and the Island of Memories,PC,White Owls Inc.
The Orange Box,Xbox 360,"Valve Corporation, EA Bright Light"
The Quiet Man,PC,"Human Head Studios, Inc."
The Red Strings Club,PC,Deconstructeam
The Saboteur,Xbox 360,Pandemic Studios
The Shrouded Isle,PC,Not Found
The Sly Collection,PlayStation 3,"Sanzaru Games, Sucker Punch"
The Stanley Parable,PC,Galactic Cafe
The Swapper,PC,"Facepalm Games, Curve Digital"
The Typing of The Dead: Overkill,PC,Modern Dream
The Witcher,PC,"CD Projekt Red, CD Projekt SA, The Farm 51, Outsource Media (OMUK)"
The Witcher 2: Assassins of Kings,PC,CD Projekt Red
The Witcher 2: Assassins of Kings,Xbox 360,CD Projekt Red
The Witcher 3: Wild Hunt,PlayStation 4,CD Projekt Red
The Witcher Adventure Game,PC,"CD Projekt Red, Can Explode"
The Witness,PC,Thekla Inc
The Wolf Among Us,Xbox 360,"Telltale Games, Outsource Media (OMUK)"
The World Ends with You,Nintendo DS,"Square Enix, Jupiter Corp., h.a.n.d. Inc."
Thief,PC,"Eidos-Montréal, Nixxes Software BV, Square Visual Works"
This War of Mine,PC,11 Bit Studios
Thomas Was Alone,PC,"Curve Digital, Mike Bithell Games"
Tidalis,PC,Arcen Games
Titanfall,PC,"Respawn Entertainment, Bluepoint Games"
Titanfall 2,PC,Respawn Entertainment
Titanfall 2,PlayStation 4,Respawn Entertainment
Tokyo Jungle,PlayStation 3,"SIE Japan Studio, Crispy's!, Playstation C.A.M.P"
Tom Clancy's Rainbow Six Siege,PC,Ubisoft Montreal Studios
Train Simulator 2013,PC,RailSimulator.com
Transformers: Devastation,PlayStation 4,PlatinumGames
Transistor,PC,Supergiant Games
Tropico 5,PlayStation 4,"Haemimont Games AD, Outsource Media (OMUK)"
TumbleSeed,PC,Aeiowu
Turmoil,PC,Gamious
Two Brothers,PC,Ackk Studios
Tyranny,PC,Obsidian Entertainment
Ultimate Marvel vs. Capcom 3,Xbox 360,"Capcom, Eighting Co., Ltd., Marvel Studios"
Ultra Street Fighter IV,Xbox 360,"Dimps Corporation, Capcom"
Undertale,PC,"tobyfox, 8-4, Ltd."
Unreal Tournament 3,PC,"Epic Games, Naked Sky Entertainment, Inc., Psyonix Studios"
Until Dawn,PlayStation 4,Supermassive Games
VA-11 Hall-A: Cyberpunk Bartender Action,PC,"Sukeban Games, Wolfgame"
Valkyria Chronicles,PlayStation 4,"Basiscape, SEGA Wow Inc., Little Stone Software, inbound, Media.Vision Entertainment Inc., O-TWO"
Vampire: The Masquerade - Bloodlines,PC,Troika Games L.L.C.
Vanquish,Xbox 360,"PlatinumGames, Bee Tribe, Little Stone Software"
Virtua Fighter 5 Final Showdown,Xbox 360 Games Store,SEGA-AM2
War of the Roses,PC,Fatshark AB
"Warhammer 40,000: Dawn of War",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War - Dark Crusade",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War - Soulstorm",PC,"Relic Entertainment, Iron Lore Entertainment Ltd."
"Warhammer 40,000: Dawn of War - Winter Assault",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War II",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War II - Retribution",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War II: Chaos Rising",PC,Relic Entertainment
"Warhammer 40,000: Dawn of War III",PC,Relic Entertainment
"Warhammer 40,000: Space Marine",Xbox 360,"Relic Entertainment, Sonic Mayhem"
Warhammer: End Times - Vermintide,PC,Fatshark AB
Warlock: Master of the Arcane,PC,1C: Ino-Co
Warmachine: Tactics,PC,White Moon Dreams
Wasteland,PC,Interplay Entertainment Corp.
Wasteland 2,PC,"Obsidian Entertainment, inXile Entertainment, Inc."
Watch Dogs 2,PlayStation 4,Ubisoft Montreal Studios
Watch Dogs 2,PlayStation 4,Ubisoft Montreal Studios
Way of the Samurai,PlayStation 2,Acquire
Way of the Samurai 3,Xbox 360,Acquire
West of Loathing,PC,Asymmetric Publications
Westerado: Double Barreled,PC,Ostrich Banditos
What Remains of Edith Finch,PC,"Giant Sparrow, SIE Santa Monica Studio"
Where the Water Tastes Like Wine,PC,"Dim Bulb Games, Serenity Forge"
Wii Sports,Wii,Nintendo EAD
Wild Arms 2,PlayStation,"Media.Vision Entertainment Inc., Contrail"
Wild Arms 3,PlayStation 2,Media.Vision Entertainment Inc.
Windjammers,PlayStation 4,"Data East Corporation, DotEmu"
Witch Hunt,PC,Not Found
Wolfenstein II: The New Colossus,PlayStation 4,"MachineGames, Panic Button"
Wolfenstein: The New Order,PlayStation 4,MachineGames
World of Goo,PC,2D Boy
Wuppo,PC,Knuist & Perzik
WWE All Stars,Xbox 360,THQ San Diego
XCOM 2,PlayStation 4,"Firaxis Games, Feral Interactive"
XCOM: Enemy Within,Xbox 360,Firaxis Games
Xenogears,PlayStation,"Squaresoft, Square Visual Works"
Xenosaga: Episode I - Der Wille zur Macht,PlayStation 2,"Monolith Software, Inc."
Yakuza 0,PlayStation 4,"Ryu ga Gotoku Studio, inbound, Atlus U.S.A., Inc."
Yakuza 6: The Song of Life,PlayStation 4,Ryu ga Gotoku Studio
Yakuza Kiwami,PlayStation 4,"Ryu ga Gotoku Studio, Atlus U.S.A., Inc."
Yakuza Kiwami 2,PlayStation 4,Ryu ga Gotoku Studio
Yōdanji,Nintendo Switch,Not Found
You Don't Know Jack,Xbox 360,"Jackbox Games, Iron Galaxy Studios"
Zeno Clash,PC,ACE Team
Zeno Clash II,PC,ACE Team
Zone of the Enders HD Collection,Xbox 360,"Kojima Productions, High Voltage Software, Inc., Hexa Drive"
