Title,Platform,Developer
Bayonetta,Nintendo Switch,"PlatinumGames, Bee Tribe"
Bayonetta,Xbox 360,"PlatinumGames, Bee Tribe"
Bayonetta 2,Nintendo Switch,"PlatinumGames, Bee Tribe, Imagica Digitalscape Co., Ltd."
Beat Hazard,PC,"Cold Beam Games, d3t Ltd."
Beatbuddy: Tale of the Guardians,PC,Threaks
Besiege,PC,Spiderling Studios
Beyond Divinity,PC,Larian Studios
Beyond Good & Evil,PlayStation 2,"Ubisoft Montpellier Studios, Ubisoft Shanghai Studios, Ubisoft Milan Studio"
BioShock 2,Xbox 360,"2K Marin, Digital Extremes, Arkane Studios SA, 2K Australia, 2K China, Darkside Game Studios, Iron Galaxy Studios, Feral Interactive"
BioShock Infinite,Xbox 360,"Irrational Games, 2K Australia, Darkside Game Studios"
Blackguards,PC,"Daedalic Entertainment, Outsource Media (OMUK)"
Blackguards 2,PC,"Daedalic Entertainment, Outsource Media (OMUK)"
Blitz: The League II,Xbox 360,"Twisted Pixel Games, Midway Games"
Blockland,PC,Not Found
Blood Bowl: Legendary Edition,PC,Cyanide Studio
Blood Will Tell: Tezuka Osamu's Dororo,PlayStation 2,"SEGA Wow Inc., Paon Corporation, Ltd., Imagica Digitalscape Co., Ltd."
Bloodborne,PlayStation 4,"FromSoftware, Inc., SIE Japan Studio"
Bloodstained: Curse of the Moon,Nintendo Switch,"Inti Creates Co., Ltd."
Bloody Roar II,PlayStation,"Eighting Co., Ltd., Hudson Entertainment, Inc."
Boot Hill Heroes,PC,Experimental Gamer Studios
Borderlands,PC,Gearbox Software LLC
Borderlands 2,Xbox 360,Gearbox Software LLC
Bound,PlayStation 4,Plastic
Brütal Legend,Xbox 360,"Double Fine Productions, Inc."
Braid,PC,"Number None Inc, Hothead Games"
Broforce,PlayStation 4,Free Lives
Broken Age,PC,"Double Fine Productions, Inc."
Broken Reality,PC,Not Found
Brothers: A Tale of Two Sons,PC,Starbreeze Studios AB
Bucket Detective,PC,The Whale Husband
Burnout Paradise,PlayStation 4,Criterion Games
Burnout Paradise,Xbox 360,Criterion Games
Call of Juarez: Gunslinger,PC,Techland Sp. z o.o.
Capcom vs. SNK 2: Mark of the Millennium,PlayStation 2,"Capcom, Capcom Production Studio 1"
Cities in Motion 2,PC,Colossal Order
Closure,PC,Eyebrow Interactive
Company of Heroes,PC,Relic Entertainment
Company of Heroes 2,PC,Relic Entertainment
Company of Heroes: Opposing Fronts,PC,Relic Entertainment
Company of Heroes: Tales of Valor,PC,Relic Entertainment
Condemned: Criminal Origins,Xbox 360,"Monolith Productions, Inc."
Contagion,PC,Monochrome Games
Contradiction: Spot The Liar!,PC,Baggy Cat Ltd
Counter-Strike: Global Offensive,PC,"Hidden Path Entertainment, Valve Corporation"
Counter-Strike: Source,PC,"Valve Corporation, Hidden Path Entertainment"
Crackdown,Xbox 360,Realtime Worlds Ltd.
Crackdown 2,Xbox 360,Ruffian Games
Crazy Taxi,PC,"Hitmaker, Probe Entertainment, Strangelite Limited, Graphic State Limited, SEGA Studios"
Crusader Kings II,PC,"Paradox Interactive AB, Paradox Development Studio"
Crypt of the NecroDancer,PC,Brace Yourself Games
D4: Dark Dreams Don't Die,PC,Access Games
Dad Quest,PC,Sundae Month
Danganronpa 1•2 Reload,PlayStation 4,Spike Chunsoft
Dante's Inferno,Xbox 360,"Visceral Games, Behaviour Interactive"
Dark Cloud 2,PlayStation 2,Level-5 Inc.
Dark Messiah of Might and Magic: Elements,Xbox 360,"Arkane Studios SA, Ubisoft Annecy Studios, Sonic Mayhem"
Dark Souls,Nintendo Switch,"FromSoftware, Inc., Virtuos Ltd., QLOC"
Dark Souls,Xbox 360,"FromSoftware, Inc., Virtuos Ltd., QLOC"
Dark Souls II: Scholar of the First Sin,PlayStation 4,"FromSoftware, Inc."
Dark Souls III,PlayStation 4,"FromSoftware, Inc."
Darkest Dungeon,Nintendo Switch,Red Hook Studios
Darkest Dungeon,PC,Red Hook Studios
Darkest Hour: A Hearts of Iron Game,PC,Not Found
Day of Defeat,PC,Valve Corporation
Dead End Road,PC,Not Found
Dead Rising,Xbox 360,"Capcom, Capcom Production Studio 1, QLOC"
Dead Rising 2,Xbox 360,Capcom Game Studios Vancouver
Dead Rising 2: Case Zero,Xbox 360 Games Store,Capcom Game Studios Vancouver
